,runnerId,bib,teamName,iaaf,placeOverall,gunPlaceOverall,netPlaceOverall,timeOverall,gunTime,netTime,scoreByNetTime,pace,placeGender,placeAgeGroup,ageGroupFromTo,timeAgeGrade,placeAgeGrade,percentAgeGrade,placeCountry,speed,photoUrl,basnoPhotoUrl,splitResults,overallTotalPlaces,genderTotalPlaces,ageGroupTotalPlaces,ageGradedTotalPlaces,countryTotalPlaces
0,1580489,f2345,,USA,20000,20000,0,4:44:12,4:44:12,4:42:05,False,10:45,5146,1110,30-34,4:40:18,2105,48.3,8722,5.6,,,"[{'splitCode': '10K', 'splitName': None, 'time': '1:01:00', 'pace': '09:49', 'speed': 6.1, 'distance': 6.21}, {'splitCode': 'HALF', 'splitName': None, 'time': '2:10:02', 'pace': '09:56', 'speed': 6.0, 'distance': 13.1}]",36863,12062,2384,4573,16894
1,1580490,13842,,FRA,20001,20001,0,4:44:12,4:44:12,4:41:04,False,10:43,5147,234,50-54,3:54:58,232,57.6,1694,5.6,,,"[{'splitCode': '10K', 'splitName': None, 'time': '1:03:15', 'pace': '10:11', 'speed': 5.9, 'distance': 6.21}, {'splitCode': 'HALF', 'splitName': None, 'time': '2:12:21', 'pace': '10:07', 'speed': 5.9, 'distance': 13.1}]",36863,12062,845,4573,2535
2,1580491,f8468,,GBR,20002,20002,0,4:44:12,4:44:12,4:40:15,False,10:41,5148,467,45-49,4:03:27,466,55.6,1476,5.6,,,"[{'splitCode': '10K', 'splitName': None, 'time': '1:04:13', 'pace': '10:20', 'speed': 5.8, 'distance': 6.21}, {'splitCode': 'HALF', 'splitName': None, 'time': '2:12:28', 'pace': '10:07', 'speed': 5.9, 'distance': 13.1}]",36863,12062,1279,4573,3158
3,1580492,16475,ING,USA,20003,20003,0,4:44:12,4:44:12,4:40:58,False,10:43,14855,3126,40-44,4:27:27,3107,46.7,8723,5.6,,,"[{'splitCode': '10K', 'splitName': None, 'time': '1:06:05', 'pace': '10:38', 'speed': 5.6, 'distance': 6.21}, {'splitCode': 'HALF', 'splitName': None, 'time': '2:14:38', 'pace': '10:17', 'speed': 5.8, 'distance': 13.1}]",36863,24801,4803,8485,16894
4,1580493,11865,,FRA,20004,20004,0,4:44:12,4:44:12,4:38:23,False,10:37,5149,235,50-54,3:55:45,233,57.4,1695,5.7,,,"[{'splitCode': '10K', 'splitName': None, 'time': '1:09:02', 'pace': '11:07', 'speed': 5.4, 'distance': 6.21}, {'splitCode': 'HALF', 'splitName': None, 'time': '2:22:32', 'pace': '10:53', 'speed': 5.5, 'distance': 13.1}]",36863,12062,845,4573,2535
5,1580494,28375,,FRA,20005,20005,0,4:44:12,4:44:12,4:38:23,False,10:37,14856,1375,50-54,4:07:07,1369,50.5,1696,5.7,,,"[{'splitCode': '10K', 'splitName': None, 'time': '1:09:02', 'pace': '11:07', 'speed': 5.4, 'distance': 6.21}, {'splitCode': 'HALF', 'splitName': None, 'time': '2:22:33', 'pace': '10:53', 'speed': 5.5, 'distance': 13.1}]",36863,24801,2612,8485,2535
6,1580495,39388,,FRA,20006,20006,0,4:44:12,4:44:12,4:36:23,False,10:32,14857,2633,30-34,4:36:23,5506,45.8,1697,5.7,,,"[{'splitCode': '10K', 'splitName': None, 'time': '1:12:52', 'pace': '11:44', 'speed': 5.1, 'distance': 6.21}, {'splitCode': 'HALF', 'splitName': None, 'time': '2:23:48', 'pace': '10:59', 'speed': 5.5, 'distance': 13.1}]",36863,24801,3990,8485,2535
7,1580496,35691,,USA,20007,20007,0,4:44:12,4:44:12,4:43:42,False,10:49,14858,2634,30-34,4:43:42,5507,44.7,8724,5.5,,,"[{'splitCode': '10K', 'splitName': None, 'time': '0:58:20', 'pace': '09:24', 'speed': 6.4, 'distance': 6.21}, {'splitCode': 'HALF', 'splitName': None, 'time': '2:07:55', 'pace': '09:46', 'speed': 6.1, 'distance': 13.1}]",36863,24801,3990,8485,16894
8,1580497,12695,,USA,20008,20008,0,4:44:13,4:44:13,4:43:43,False,10:49,14859,1472,25-29,4:43:43,1872,44.7,8725,5.5,,,"[{'splitCode': '10K', 'splitName': None, 'time': '0:58:20', 'pace': '09:24', 'speed': 6.4, 'distance': 6.21}, {'splitCode': 'HALF', 'splitName': None, 'time': '2:07:56', 'pace': '09:46', 'speed': 6.1, 'distance': 13.1}]",36863,24801,2291,8485,16894
9,1580498,19420,,GBR,20009,20009,0,4:44:13,4:44:13,4:41:15,False,10:44,14860,1473,25-29,4:41:15,1873,45.0,1477,5.6,,,"[{'splitCode': '10K', 'splitName': None, 'time': '0:54:25', 'pace': '08:46', 'speed': 6.9, 'distance': 6.21}, {'splitCode': 'HALF', 'splitName': None, 'time': '1:51:51', 'pace': '08:33', 'speed': 7.0, 'distance': 13.1}]",36863,24801,2291,8485,3158
